Province Code	Province Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)
5243	Alberta Basin	Oil	12821	2458	15279	47573	31097	78670	1592	1119	2711	22342	8760	31101	818	11895	328	3128	16097	90565	3039	34229	95	87	89	91	3276	42992	1447	11888
5244	"Williston Basin, Canada"	Oil	2696	809	3506	10378	6876	17254	42	8	49	4468	1963	6431	154	502	14	252	3660	17756	64	6683	96	97	78	96	963	7379	22	2215
5245	Rocky Mountain Deformed Belt	Gas	176	22	198	8662	6447	15109	296	103	399	1916	1199	3115	6	3186	76	613	204	18295	475	3728	97	83	84	84	28	9633	179	1812
5246	Mackenzie Foldbelt	Gas	0	0	0	379	252	631	0	0	0	63	42	105	0	43	1	8	0	674	1	113	NA	94	0	93	0	295	1	50
5301	Tampico-Misantla Basin	Oil	5773	1122	6895	2354	4306	6661	0	0	0	6165	1840	8005	893	2051	119	1354	7787	8712	119	9359	89	76	0	86	2015	6358	119	3194
5302	Veracruz Basin	Oil	51	79	130	335	270	605	0	1	1	107	125	232	955	5832	288	2214	1085	6437	288	2446	12	9	0	9	1034	6102	288	2339
5304	Saline-Comalcalco Basin	Oil	1673	686	2359	1023	1223	2246	0	0	0	1844	889	2733	7018	16423	895	10650	9377	18669	895	13383	25	12	0	20	7703	17645	895	11539
5305	Villahermosa Uplift	Oil	14640	20382	35022	13888	27404	41292	50	44	94	17004	24993	41997	7436	15623	918	10957	42457	56915	1011	52955	82	73	9	79	27818	43027	961	35950
5306	Macuspana Basin	Oil	2	4	6	8	8	16	1	0	1	4	5	9	101	210	12	149	108	225	13	158	6	7	5	6	105	217	12	154
5307	Campeche-Sigsbe Salt Basin	Oil	0	0	0	0	0	0	0	0	0	0	0	0	2478	5565	309	3714	2478	5565	309	3714	0	0	0	0	2478	5565	309	3714
