Country	Field Type	Country Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
Bangladesh	gas	1	NA	NA	NA	NA	8776.777748	30621.12166	67221.66895	33500.13751	33.04042052	126.2195595	342.0922578	148.3751321
Barbados	oil	0.5	0	118.0253125	4568.827989	1151.666887	0	249.6675723	10198.22453	2536.934753	0	13.93795813	624.4881828	152.5180046
Barbados	gas	0.5	NA	NA	NA	NA	0	679.158432	24958.4826	6430.587961	0	29.03872278	1126.386349	283.7337418
Benin	oil	1	15.74875733	63.04329003	148.1871876	70.31403464	64.26464385	269.2074058	689.1799424	309.4347317	2.012812472	8.669557102	23.75344309	10.24839115
Benin	gas	1	NA	NA	NA	NA	87.89919562	354.46379	840.0257925	395.5269635	1.958461473	8.248360939	21.2078008	9.499414952
Bolivia	oil	1	216.0412345	1039.690431	2769.242863	1203.030221	536.4346308	2635.3725	7586.362218	3149.858674	30.07443579	152.9131085	473.2636474	188.9131712
Bolivia	gas	1	NA	NA	NA	NA	9116.232107	21052.52214	37392.86557	21863.12454	313.3331268	773.2488845	1527.458226	827.5487504
Brazil	oil	1	8060.064445	42233.87565	100847.7586	46746.39444	11896.96368	63076.48398	161408.2671	71763.64854	576.7628216	3295.677604	9038.849204	3851.158997
Brazil	gas	1	NA	NA	NA	NA	22159.92386	108708.9039	268590.6769	122644.1382	658.7443419	3644.723166	10039.07942	4276.102009
Brunei	oil	1	565.1752966	1691.342081	3388.06965	1801.776389	1463.517617	4602.690131	10130.56567	5048.022544	80.97497773	268.5766466	642.8849808	302.851055
Brunei	gas	1	NA	NA	NA	NA	2019.426496	6704.722036	14943.98896	7363.84618	81.71168781	286.1744497	693.2958214	323.887202
Bulgaria	oil	1	3.370401764	7.992535192	15.49186642	8.542654135	3.676121621	9.336172919	19.9406072	10.2544719	0.100703344	0.273011041	0.631911795	0.307523436
Bulgaria	gas	1	NA	NA	NA	NA	5.131983645	16.1331	36.29825769	17.8074694	0.190886382	0.625127437	1.540234724	0.713043308
Cambodia	oil	1	27.96138225	106.1767042	278.512673	123.6218484	124.6673999	495.2694304	1392.602715	594.0689167	1.632584625	6.770937799	20.30052425	8.329570741
Cambodia	gas	1	NA	NA	NA	NA	352.6997245	1060.262718	2358.597251	1167.71115	6.52832525	20.52141375	49.65404075	23.31673131
Cameroon	oil	1	700.8064821	1493.366916	2493.512626	1533.421019	1119.286544	2533.023722	4854.970595	2696.115667	36.21121735	87.7556869	181.4213643	95.43011861
Cameroon	gas	1	NA	NA	NA	NA	1376.623519	2796.056665	4684.391156	2884.994105	81.19730505	162.0502278	272.0567768	167.4515576
Canada	oil	1	827.714797	2550.772386	5435.427446	2774.151308	1877.118703	7072.745932	19363.61858	8350.412054	105.4163754	413.4530998	1211.803652	502.4940699
Canada	gas	1	NA	NA	NA	NA	6660.230738	15260.82571	28485.08679	16168.5798	157.5571637	395.1621453	818.9669129	429.9624846
Chile	oil	1	97.84764705	311.418203	661.6739516	337.4880823	289.1961478	916.15729	2042.421938	1008.550128	2.149681284	7.112580899	17.21794372	8.067475751
Chile	gas	1	NA	NA	NA	NA	1771.503631	5192.281705	9701.056463	5396.550359	42.19098689	126.9876697	254.206334	134.8988562
China	oil	1	3324.049191	10981.53683	24571.39693	12115.23136	4255.384596	18059.57827	47269.31823	20908.56316	279.8649667	1251.243466	3536.009951	1495.91088
China	gas	1	NA	NA	NA	NA	16595.42356	58652.68915	133801.8498	64877.81328	686.3334829	2593.65169	6505.93134	2964.921591
Colombia	oil	1	1286.161221	4556.068804	10846.09864	5119.613501	1095.375606	4328.732551	12137.58272	5174.88692	59.20365711	246.4962614	738.1664108	302.9006961
Colombia	gas	1	NA	NA	NA	NA	1102.936949	4225.070442	11187.10888	4925.751043	36.58456229	154.5926414	454.95297	188.2479576
Congo (Brazzaville)	oil	1	1873.76806	5520.653359	10626.35654	5799.604075	3888.924401	12029.79568	25693.45628	13033.07711	181.9440052	584.3163293	1346.980534	651.3742935
