Assessment Unit Code	Assessment Unit Name	Field Type	Units for Minimum Field Size	Minimum Field Size	Assessment Unit Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)	Units for Largest	Largest F95	Largest F50	Largest F5	Largest Mean
20040101	Ma'Rib-Al Jawf/Shabwah/Masila	oil	MMBO	5	1	1028.194922	2673.731237	4652.250596	2740.376368	3815.728213	10368.96156	20156.1224	10970.08736	212.4462776	604.6462594	1294.877884	659.1330312	MMBO	115.8935148	243.9331693	499.1138601	266.9693085
20040101	Ma'Rib-Al Jawf/Shabwah/Masila	gas	BCFG	30	1	NA	NA	NA	NA	2655.846437	5860.530119	9849.531952	6012.144179	106.2785181	250.5943296	470.4910463	264.4351431	BCFG	370.7612953	848.7308551	2144.501393	991.0957355
20140101	Ghaba-Makarem Combined Structural	oil	MMBO	5	1	220.638803	684.3602874	1449.841101	742.840823	639.2386522	2032.360777	4490.935774	2230.282898	46.50987332	150.2504051	344.1705702	167.1967857	MMBO	34.41606459	92.679211	254.0530028	110.6037346
20140101	Ghaba-Makarem Combined Structural	gas	BCFG	30	1	NA	NA	NA	NA	2202.077514	7392.25026	15186.17291	7881.689521	75.24345761	255.5086618	543.7361351	275.781584	BCFG	559.7429117	1626.404815	4903.451873	2006.465611
20160101	Fahud-Huqf Combined Structural	oil	MMBO	4	1	340.5060585	1166.48529	2738.158239	1304.497549	497.8366747	1724.28853	4230.594423	1958.449241	17.26855595	60.30740444	148.5598202	68.51300201	MMBO	78.86614077	268.0058827	930.1430274	349.020555
20160101	Fahud-Huqf Combined Structural	gas	BCFG	24	1	NA	NA	NA	NA	2063.836348	5764.292773	11966.79479	6247.16925	69.82718727	200.0204787	427.3243803	218.4687118	BCFG	394.6195294	911.5259755	2121.13868	1033.149914
20160201	Natih-Fiqa Structural/Stratigraphic	oil	MMBO	1	1	62.09730738	319.0919255	858.4163904	371.4483038	29.93874809	156.7501448	441.2289502	186.0339473	1.485072777	7.813038429	22.2184867	9.303191151	MMBO	22.06074102	89.17937751	327.964046	118.9053209
20160201	Natih-Fiqa Structural/Stratigraphic	gas	BCFG	6	1	NA	NA	NA	NA	26.79021057	130.0310245	491.4992735	176.9084407	1.327301813	6.474684989	24.79501393	8.85252949	BCFG	14.94161196	61.39454697	310.5129006	98.13551958
20190101	Cretaceous Reservoirs in Northwest Desert Anticlines	oil	MMBO	10	1	1288.63948	4202.765877	9713.850372	4702.336176	751.5999548	2496.239881	6005.704318	2818.813676	32.70365705	110.6193996	274.9313688	126.8074632	MMBO	252.1355235	837.7930397	2753.233573	1066.505358
20190101	Cretaceous Reservoirs in Northwest Desert Anticlines	gas	BCFG	60	1	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
20190102	Cretaceous Reservoirs in South Gulf Suprasalt Structural	oil	MMBO	10	1	1208.059869	3475.106267	7311.498379	3763.508943	893.9542392	2702.115223	6190.281921	3016.371181	49.8173958	157.7276172	391.5807188	181.0071644	MMBO	204.1059333	643.5862728	2095.632169	820.2124648
