Province Code	Province Name	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
1322	North Sakhalin Basin	onshore	NA	onshore total	oil	NA	NA	NA	1	47.11894075	164.9441015	365.7294038	180.7224308	229.5365589	816.4877454	1879.328737	903.2084317	12.8257966	47.45729394	118.1884171	54.20739162
1322	North Sakhalin Basin	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	536.8179172	2042.925378	4521.958801	2227.419539	26.0067134	100.0327747	233.9838326	111.2455755
1322	North Sakhalin Basin	offshore	NA	offshore total	oil	NA	NA	NA	1	626.0087843	2191.400206	4858.976365	2401.02658	3049.557139	10847.6229	24968.22465	11999.76916	170.3998691	630.5040481	1570.217542	720.1839172
1322	North Sakhalin Basin	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	10199.54043	38815.58218	85917.21721	42320.97124	494.1275546	1900.62272	4445.69282	2113.665934
1322	North Sakhalin Basin	NA	NA	total	oil	NA	NA	NA	1	673.1277251	2356.344307	5224.705769	2581.749011	3279.093698	11664.11065	26847.55339	12902.9776	183.2256657	677.961342	1688.405959	774.3913088
1322	North Sakhalin Basin	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	10736.35834	40858.50756	90439.17601	44548.39078	520.134268	2000.655495	4679.676653	2224.911509
2004	Ma'Rib-Al Jawf/Masila Basin	onshore	NA	onshore total	oil	NA	NA	NA	1	359.8682228	935.8059328	1628.287709	959.1317289	1335.504874	3629.136548	7054.64284	3839.530574	74.35619716	211.6261908	453.2072595	230.6965609
2004	Ma'Rib-Al Jawf/Masila Basin	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	929.546253	2051.185542	3447.336183	2104.250463	37.19748134	87.70801535	164.6718662	92.5523001
2004	Ma'Rib-Al Jawf/Masila Basin	offshore	NA	offshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	Ma'Rib-Al Jawf/Masila Basin	offshore	NA	offshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
