Sort Order	Code	Name	Contact					
390	60210103	Late Cretaceous-Tertiary Nearshore Sandstones	C. J. Schenk
391	6022	Foz do Amazonas Basin	
392	602201	Neogene	
393	60220101	Amazon Delta and Submarine Fan	C. J. Schenk
394	60220102	Offshore Gas Hydrates	C. J. Schenk
395	6029	Sergipe-Alagoas Basin	
396	602901	Neocomian to Turonian Composite	
397	60290101	Western Pre-Aptian Reservoirs	C. J. Schenk
398	60290102	Late Cretaceous-Tertiary Deep-Water Sandstones	C. J. Schenk
399	6034	Espirito Santo Basin	
400	603401	Cretaceous Composite	
401	60340101	Espirito Santo Shelf	C. J. Schenk
402	60340102	Late Cretaceous-Tertiary Slide Blocks and Turbidites	C. J. Schenk
403	60340103	Abrolhos Sub-Volcanic Structures	C. J. Schenk
404	6035	Campos Basin	
405	603501	Lagoa Feia-Carapebus	
406	60350101	Late Cretaceous-Tertiary Turbidites	C. J. Schenk
407	60350102	Cretaceous Carbonates	C. J. Schenk
408	60350103	Salt Dome Province Tertiary Sandstones	C. J. Schenk
409	6036	Santos Basin	
410	603601	Guaratiba-Guaruja (Cretaceous) Composite	
411	60360101	Santos Shelf	C. J. Schenk
412	60360102	Salt-Structured Deep-Water Sandstones	C. J. Schenk
413	6037	Pelotas Basin	
414	603701	Cenomanian-Turonian-Tertiary Composite	
415	60370101	Pelotas Platform and Basin	C. J. Schenk
416	60370102	Offshore Gas Hydrates	C. J. Schenk
417	6041	Putumayo-Oriente-Maranon Basin	
418	604101	Mesozoic-Cenozoic	
419	60410101	Hollin-Napo	D. K. Higley
420	60410102	Basin-Center Gas	D. K. Higley
421	604102	Paleozoic	
422	60410201	Ene	D. K. Higley
423	6045	Santa Cruz-Tarija Basin	
424	604501	Los Monos-Machareti	
425	60450101	Sub-Andean Fold and Thrust Belt	C. J. Schenk
426	60450102	Foreland Basins	C. J. Schenk
427	60450103	Foreland Central Chaco High	C. J. Schenk
428	6055	Neuquen Basin	
429	605501	Neuquen Hybrid	
430	60550101	Neuquen Extensional Structures	C. J. Schenk
431	60550102	Neuquen Foothills Structure	C. J. Schenk
432	60550103	Dorsal de Neuquen Structure	C. J. Schenk
433	6058	San Jorge Basin	
434	605801	D-129	
435	60580101	San Jorge Extensional Structures	C. J. Schenk
436	60580102	San Bernardo Fold Belt Structures	C. J. Schenk
437	605802	Aguada Bandera	
438	60580201	Hypothetical Basin-Centered Gas	C. J. Schenk
439	6059	Magallanes Basin	
440	605901	Lower Inoceramus	
441	60590101	Magallanes Extensional Structures	C. J. Schenk
442	60590102	Andean Fold Belt Structures	C. J. Schenk
443	6060	Falklands Plateau	
444	606001	Neocomian Lacustrine	
445	60600101	North Falklands Basin	C. J. Schenk
446	606002	Lower Cretaceous	
447	60600201	South Falklands Basin	C. J. Schenk
448	6063	Malvinas Basin	
449	606301	Lower Cretaceous Marine	
450	60630101	Malvinas Extensional Structures	C. J. Schenk
451	6081	Talara Basin	
452	608101	Cretaceous-Tertiary	
453	60810101	Cretaceous-Paleogene Basin	D. K. Higley
454	6083	Progreso Basin	
455	608301	Neogene	
456	60830101	Neogene Pull-Apart Basin	D. K. Higley
457	608302	Cretaceous-Paleogene	
458	60830201	Cretaceous-Paleogene Santa Elena Block	D. K. Higley
459	6090	Middle Magdalena	
460	609001	La Luna-La Paz	
461	60900101	Northern	L. B. Magoon
462	60900102	Southern	L. B. Magoon
463	60900103	Eastern	L. B. Magoon
464	60900104	La Luna and Older	L. B. Magoon
465	6096	Llanos Basin	
466	609601	Gacheta-Mirador	
467	60960101	Central	L. B. Magoon
468	60960102	Peripheral	L. B. Magoon
469	6098	East Venezuela Basin	
470	609801	Querecual	
471	60980101	East Venezuela Fold and Thrust Belt	C. J. Schenk
472	60980102	Guarico Sub-Basin	C. J. Schenk
473	60980103	Maturin Sub-Basin	C. J. Schenk
474	60980104	Orinoco Heavy Oil and Tar Belt	C. J. Schenk
475	609802	Upper Cretaceous/Tertiary	
476	60980201	Trinidad Basins	C. J. Schenk
477	60980202	Orinoco Delta and Offshore	C. J. Schenk
478	6099	Maracaibo Basin	
479	609901	La Luna/Maracaibo	
480	60990101	Main Maracaibo Basin	C. J. Schenk
481	60990102	Southwest Maracaibo Basin Fold Belt	C. J. Schenk
482	60990103	Basin-Centered Gas	C. J. Schenk
483	6103	Tobago Trough	
484	610301	Lower Cruse	
485	61030101	Carupano Basin Gas	C. J. Schenk
486	6107	Lesser Antilles Deformed Belt	
487	610701	Tobago Trough Paleogene	
488	61070101	Inner Forearc Deformation Belt	C. J. Schenk
489	6117	Greater Antilles Deformed Belt	
490	611701	Upper Jurassic-Neocomian	
491	61170101	North Cuba Fold and Thrust Belt	C. J. Schenk
492	7	Sub-Saharan Africa and Antarctica  	
493	7013	Senegal	
494	701301	Cretaceous-Tertiary Composite	
495	70130101	Coastal Plain and Offshore	M. E. Brownfield
496	7183	Gulf of Guinea	
497	718301	Cretaceous Composite	
498	71830101	Coastal Plain and Offshore	R. R. Charpentier
499	7192	Niger Delta	
500	719201	Tertiary Niger Delta (Agbada/Akata)	
501	71920101	Agbada Reservoirs	M. L. Tuttle
502	71920102	Akata Reservoirs	M. L. Tuttle
503	7203	West-Central Coastal	
504	720301	Melania-Gamba	
505	72030101	Gabon Subsalt	R. R. Charpentier
506	720302	Azile-Senonian	
507	72030201	Gabon Suprasalt	R. R. Charpentier
508	720303	Congo Delta Composite	
509	72030301	Central Congo Delta and Carbonate Platform	R. R. Charpentier
510	72030302	Central Congo Turbidites	R. R. Charpentier
511	720304	Cuanza Composite	
512	72030401	Cuanza-Namibe	R. R. Charpentier
513	7303	Orange River Coastal	
514	730301	Cretaceous Composite	
515	73030101	Offshore	R. R. Charpentier
516	8	South Asia	
517	8026	Kohat-Potwar	
518	802601	Patala-Namal	
519	80260101	Kohat-Potwar Intrathrust Basin	C. J. Wandrey
520	8034	Assam	
521	803401	Sylhet-Kopili/Barail-Tipam Composite	
522	80340101	Sylhet-Kopili/Barail-Tipam Composite	C. J. Wandrey
523	8042	Indus	
524	804201	Sembar-Goru/Ghazij	
525	80420101	Greater Indus Foreland and Foldbelt	C. J. Wandrey
526	80420102	Indus Fan	C. J. Wandrey
527	8043	Bombay	
528	804301	Eocene-Miocene Composite	
529	80430101	Eocene-Miocene Bombay Shelf	C. J. Wandrey
530	80430102	Eocene-Miocene Cambay Deltaic	C. J. Wandrey
531	8047	Ganges-Brahmaputra Delta	
532	804701	Permian Coal	
533	80470101	Coalbed Gas	R. C. Milici
534	804702	Jalangi-Sylhet/Burdwan Composite	
535	80470201	Western Shelf and Slope	R. C. Milici
536	804703	Jenam/Bhuban-Bokabil	
537	80470301	Central Basin	R. C. Milici
538	80470302	Eastern Fold Belt	R. C. Milici
539	8048	Irrawaddy	
540	804801	Eocene to Miocene Composite	
541	80480101	Central Burma Basin	C. J. Wandrey
542	80480102	Irrawaddy-Andaman	C. J. Wandrey
