Assessment Unit Code	Assessment Unit Name	Field Type	Resource Type	Units for Minimum Field Size	Minimum Field Size	Assessment Unit Probability	Units for Fractiles	F100	F95	F90	F85	F80	F75	F70	F65	F60	F55	F50	F45	F40	F35	F30	F25	F20	F15	F10	F5	F0
60450103	Foreland Central Chaco High	oil	gas	MMBO	3	0.6	BCFG	0	0	0	0	0	0	0	0	0	709.3278791	1101.091367	1443.646965	1797.926612	2168.012371	2576.243171	3026.227383	3534.576589	4169.291556	5019.254231	6354.641136	20172.10699
60450103	Foreland Central Chaco High	oil	NGL	MMBO	3	0.6	MMBNGL	0	0	0	0	0	0	0	0	0	40.02196325	62.50514172	83.04765226	103.423962	126.1406936	149.6037856	177.4011612	209.4665947	247.9517551	302.9164912	394.3676476	1269.191384
60450103	Foreland Central Chaco High	oil	largest	MMBO	3	0.6	MMBO	4.573519713	68.44243113	95.31495881	117.5697129	139.1161714	159.448563	179.8350734	202.7947681	225.8218704	251.0154549	278.6682394	311.0735159	346.0554252	385.9547162	433.3744227	492.8969489	566.6734693	674.5986867	831.4969584	1110.258136	1999.925696
60450103	Foreland Central Chaco High	gas	gas	BCFG	18	0.6	BCFG	0	0	0	0	0	0	0	0	0	535.3751663	817.6194933	1080.190666	1346.696101	1623.214679	1920.042002	2260.019197	2651.613363	3116.018209	3716.677716	4685.569982	13231.79787
60450103	Foreland Central Chaco High	gas	liquids	BCFG	18	0.6	MMBL	0	0	0	0	0	0	0	0	0	18.60129685	28.97827691	38.22227329	47.85446095	58.00621412	69.15181883	81.88655117	96.58978424	114.325603	138.1504283	177.6964048	603.046863
60450103	Foreland Central Chaco High	gas	largest	BCFG	18	0.6	BCFG	21.37432751	146.1496404	199.7791117	247.4335625	292.0114705	334.2270332	377.886216	423.2289798	471.4956446	524.4911794	581.3262164	647.0927539	722.6449399	806.3020029	906.5598961	1029.231601	1186.095755	1404.526642	1735.599083	2349.712827	4798.152383
60550101	Neuquen Extensional Structures	oil	oil	MMBO	1	1	MMBO	46.29069837	290.3702518	381.0309415	452.8251703	512.4780367	567.3175896	619.3348278	670.1208332	719.8926954	770.3093597	819.5274014	873.1678061	927.8101524	987.1819106	1048.921115	1117.05695	1195.396476	1285.296316	1400.851213	1563.582872	2798.087603
60550101	Neuquen Extensional Structures	oil	gas	MMBO	1	1	BCFG	126.0182293	807.2102014	1062.235566	1262.561406	1440.665137	1604.568404	1760.942792	1920.934467	2075.154942	2227.984542	2383.294614	2551.535002	2731.944528	2920.331011	3127.901795	3364.578648	3642.494579	3953.449733	4388.063917	5033.584644	10211.79111
60550101	Neuquen Extensional Structures	oil	NGL	MMBO	1	1	MMBNGL	1.540278239	14.82316129	19.81537028	23.64326374	27.13091733	30.38770351	33.50161914	36.65747437	39.87567361	43.18347919	46.49416592	50.13129405	53.75847929	57.89927493	62.42445189	67.34860048	73.34140707	80.96774839	90.70662271	106.5327033	242.0953577
60550101	Neuquen Extensional Structures	oil	largest	MMBO	1	1	MMBO	8.548648483	41.4156075	51.99673516	60.1396168	67.28609961	74.23442931	81.18165343	88.1399068	95.18989609	102.8040857	110.6824903	119.6195336	129.414673	139.9910834	152.1120876	166.3818519	184.1002526	206.9629269	236.0098659	278.9728801	349.961955
