Total Petroleum System Code	Total Petroleum System Name	Field Type	Total Petroleum System Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
312801	Yanchang-Yanan	oil	1	41.6189309	127.853994	266.2103087	138.3317458	5.187715489	17.59169224	43.03475934	19.99127878	0.290412837	1.02679511	2.706198347	1.200357809
312801	Yanchang-Yanan	gas	1	NA	NA	NA	NA	0	0	0	0	0	0	0	0
314201	Maokou/Longtang-Jialingjiang/Maokou/Huanglong	oil	1	0	0	0	0	0	0	0	0	0	0	0	0
314201	Maokou/Longtang-Jialingjiang/Maokou/Huanglong	gas	1	NA	NA	NA	NA	1758.450565	5770.32113	11699.41784	6137.20563	71.78943179	246.9788159	547.553182	269.9504204
314202	Daanzhai-Daanzhai/Lianggaoshan	oil	1	7.698931101	25.22384148	53.99846111	27.45260864	35.86369814	122.7299541	287.5371915	137.411188	1.993393541	7.160820966	18.2676903	8.256817385
314202	Daanzhai-Daanzhai/Lianggaoshan	gas	1	NA	NA	NA	NA	0	0	0	0	0	0	0	0
314204	Cambrian/Silurian Marine Shale-Dengying/Lower Paleozoic	oil	1	0	0	0	0	0	0	0	0	0	0	0	0
314204	Cambrian/Silurian Marine Shale-Dengying/Lower Paleozoic	gas	1	NA	NA	NA	NA	586.7537146	3572.082821	9431.501955	4036.427207	24.00419852	151.761934	436.1717904	177.5331796
314401	Qingshankou-Putaohua/Shaertu	oil	1	523.5321789	1015.867878	1560.486383	1026.265176	154.6714143	326.0015871	570.0893716	339.5663976	8.370819797	19.01858989	36.97205002	20.3588083
314401	Qingshankou-Putaohua/Shaertu	gas	1	NA	NA	NA	NA	837.8736096	1990.756989	3999.308285	2154.39081	33.42663768	85.36933763	188.2222143	94.89009021
314402	Jurassic Coal-Denglouku/Nongan	oil	1	0	0	0	0	0	0	0	0	0	0	0	0
314402	Jurassic Coal-Denglouku/Nongan	gas	1	NA	NA	NA	NA	1512.705159	3075.103321	5345.905647	3212.170491	40.66613294	90.02287545	174.546349	96.46989104
315401	Ordovician/Jurassic-Phanerozoic	oil	1	1139.175446	5266.097879	12966.37269	5948.046703	3142.975639	14898.43027	40090.86118	17384.04962	218.7439018	1066.454402	3082.965005	1284.478374
315401	Ordovician/Jurassic-Phanerozoic	gas	1	NA	NA	NA	NA	10276.39364	38188.45257	88912.52085	42555.14079	449.7299076	1760.404314	4491.416884	2027.151278
370101	Brunei-Sabah	oil	1	1062.353202	3182.917071	6372.907919	3389.81154	2750.362397	8662.178795	19055.6283	9497.193121	152.2274636	505.4278106	1209.367432	569.7745098
370101	Brunei-Sabah	gas	1	NA	NA	NA	NA	3752.765042	12498.63351	27878.46998	13728.85326	151.9072572	533.5038179	1293.083314	603.8229433
370201	Sarawak Basin	oil	1	129.663792	476.1751353	1103.094627	529.4940193	267.4569105	1012.806147	2567.870952	1163.095276	15.04269951	59.06382559	161.8937855	69.86650324
370201	Sarawak Basin	gas	1	NA	NA	NA	NA	5592.900846	15121.1703	29686.01729	16121.18855	97.17476349	275.9895806	596.1050255	302.1348219
370202	East Natuna	oil	1	19.72668512	82.17185102	253.5082326	101.8208691	40.95268359	175.3380175	573.2964846	223.9589706	2.295107474	10.21850233	35.59408216	13.45520591
370202	East Natuna	gas	1	NA	NA	NA	NA	453.0100238	1581.98037	3568.491008	1738.74241	18.7335771	67.57064915	164.9402715	76.45494046
